ID,Word,Description,Has Video
W01462,giấc ngủ,"Khoảng thời gian ngủ, về mặt trạng thái ngủ như thế nào, ngon hay không.",true
W01464,giận dỗi,Có điều giận và biểu lộ ra bằng thái độ lạnh nhạt không bình thường để cho người ta biết.,true
W01466,giật mình,"Giật nẩy người lên, do thần kinh bị tác động một cách đột ngột.",false
W01470B,giấy,"Vật liệu được làm thành tờ để viết vẽ, in ấn hoặc gói bọc, lau chùi, v.v.",false
W01479,giết,"Làm cho bị chết, một cách có chủ ý.",true
W01485,giỏi,"Có trình độ cao, đáng được khâm phục, khen ngợi.",false
W01490,giống nhau,,false
W01491,giơ tay,,true
W01494,giới thiệu,"Cho biết một vài điều cần thiết, như họ tên, nghề nghiệp, chức vụ, v.v. về một người nào đó để làm quen với nhau.",true
W01497B,giúp đỡ,Giúp để làm giảm bớt khó khăn hoặc để thực hiện được một công việc nào đó.,false
W01510,gói,"Tập hợp những gì được gói chung lại với nhau, làm thành một đơn vị.",true
W01511,gọi,"Kêu tên, phát ra tiếng hoặc tín hiệu để người hay vật nghe mà đáp lại hoặc đi đến.",false
W01513,góp ý,Góp ý kiến.,false
W01518,gợi ý,"Gợi ra để tự suy nghĩ, tự có ý kiến hoặc tự giải quyết một việc nào đó.",false
W01519,gửi,"Chuyển đến người khác, nơi khác qua khâu trung gian.",false
W01525,gương mẫu,Làm gương cho mọi người noi theo.,false
W01532,hài hước,"Vui đùa, gây cười.",true
W01534,hải đảo,Khoảng đất lớn nổi lên giữa biển hoặc đại dương.,true
W01537,hạn hán,"Hạn, nắng hạn (nói khái quát).",true
W01554,hành động,Việc làm cụ thể của con người nhằm một mục đích nhất định.,false
W01556,hành lang,"Lối đi chạy dài trong nhà, trước các dãy phòng.",true
W01558,hành tinh,"Thiên thể không tự phát ra ánh sáng, quay xung quanh Mặt Trời hoặc một ngôi sao.",true
W01559,hành vi,"Toàn bộ những phản ứng, cách cư xử biểu hiện ra ngoài của một người trong một hoàn cảnh cụ thể.",false
W01560,hát ru,"Điệu hát dân gian êm ái, thiết tha, ru cho trẻ ngủ, đồng thời biểu lộ tình cảm, tâm sự một cách nhẹ nhàng.",true
W01562,hạt,"Bộ phận nằm trong quả, do noãn cầu của bầu hoa biến thành, nảy mầm thì cho cây con.",true
W01569,hăng hái,"Không nề hà, có lòng nhiệt tình và thái độ tích cực trong công việc.",true
W01571,hắt hơi,"Bật mạnh hơi ra đằng mũi, đằng miệng thành tiếng, do màng mũi bị kích thích đột ngột.",true
W01573,hậu quả,"Kết quả không hay, có ảnh hưởng về sau.",false
W01579,héo,"(Cỏ cây, hoa lá) mềm rũ ra và tóp lại vì thiếu nước, vì nắng nóng.",true
W01580,hét / la,"Phát ra những tiếng rất to, hết sức mình, từ trong cổ họng.",true
W01582B,hệ thống,"Tập hợp nhiều yếu tố, đơn vị cùng loại hoặc cùng chức năng, có quan hệ hoặc liên hệ với nhau chặt chẽ, làm thành một thể thống nhất.",false
W01583B,hi sinh,"Tự nguyện nhận về mình sự thiệt thòi, mất mát lớn lao nào đó, vì một cái gì cao đẹp.",false
W01584B,hi vọng,Tin tưởng và mong chờ điều tốt đẹp đến.,false
W01587,hiện đại,Thuộc về thời đại ngày nay.,false
W01588,hiện nay,Thời gian hiện tại.,false
W01591B,hiểu,"Nhận ra ý nghĩa, bản chất, lí lẽ của cái gì, bằng sự vận dụng trí tuệ.",false
W01593,hiếu thảo,Có lòng kính yêu cha mẹ.,true
W01599,hình,"Toàn thể nói chung những đường nét giới hạn của một vật trong không gian, giúp phân biệt được rõ vật đó với xung quanh.",false
W01603,hình dáng,Hình của một vật làm thành vẻ riêng bên ngoài của nó.,false
W01618,hình vẽ,"Tập hợp các đường nét, mảng màu theo những nguyên tắc hội hoạ nhất định trên mặt phẳng, phản ánh hình dạng một vật thể nào đó trong tự nhiên.",false
W01619B,hoa,"Cơ quan sinh sản hữu tính của cây hạt kín, thường có màu sắc và hương thơm.",false
W01634,hòa bình,"Tình trạng yên ổn, không có chiến tranh.",true
W01637,hòa nhập,"Cùng tham gia, cùng hoà chung vào để không có sự tách biệt.",false
W01638,họa sỹ,"Người chuyên vẽ tranh nghệ thuật, có trình độ và đã được mọi người công nhận.",true
W01641,hoàn thành,Làm xong một cách đầy đủ.,false
W01645,hoàng đế,"Vua của một nước lớn, thường được nhiều nước xung quanh thần phục.",true
W01646,hoàng hôn,"Lúc mặt trời mới lặn, ánh sáng yếu ớt và mờ dần.",true
W01649,Hoàng tử,Con trai của Vua.,true
W01650,hoảng sợ,"Ở trạng thái mất tự chủ, đột ngột do sợ hãi trước sự đe doạ bất ngờ.",true
W01651B,hoạt động,"Vận động, cử động, thường là nhằm một mục đích nào đó.",false
W01655B,hoạt hình,Phim hoạt hình (nói tắt).,false
W01656,học giỏi,,false
W01660,hỏi han,Hỏi để biết (nói khái quát).,false
W01661,hòn đá,,true
W01665,học bổng,"Tiền trợ cấp ăn học mà nhà nước hay một tổ chức nào đó dành cho những học sinh, sinh viên đạt thành tích cao trong học tập.",false
W01666,kém,,false
W01668,học nhóm,,true
W01669,học phí,Tiền học sinh đóng học cho nhà trường theo định kỳ.,false
W01670,học tập,"Học và luyện tập để hiểu biết, để có kĩ năng, có tri thức.",false
W01671,học trò,Học sinh.,false
W01672B,hỏi,Nói ra điều mình muốn người ta cho mình biết với yêu cầu được trả lời.,false
W01673B,hỏi thăm,"Hỏi để biết tình hình, tin tức hoặc để được chỉ dẫn điều cần biết.",false
W01675B,hỏng,Ở tình trạng không thể dùng được nữa.,false
W01676,họng,"Khoang rỗng trong cổ, ở phía sau miệng, thông với thực quản và khí quản.",true
W01677B,họp,Tập trung lại một nơi để cùng nhau làm một việc gì.,false
W01686,hồ nước,,true
W01690B,hồi hộp,"Ở trong trạng thái lòng luôn bồi hồi, lo lắng không yên trước cái gì sắp đến mà mình đang hết sức quan tâm.",false
W01692B,hối hận,Lấy làm tiếc và cảm thấy đau khổ day dứt khi nhận ra điều lầm lỗi của mình.,false
W01693,hối lộ,"Đưa tiền của cho người có quyền hành để nhờ làm việc có lợi cho mình, bằng hành vi lạm dụng chức vụ, làm sai pháp luật.",false
W01695B,hội nghị,"Cuộc họp được tổ chức với quy mô lớn, có nhiều người dự, để bàn bạc hoặc giải quyết một công việc có tính chất chung nào đó.",false
W01696,hội thảo,"Họp rộng rãi để thảo luận, bày tỏ, trao đổi ý kiến về một vấn đề chung.",true
W01698,hội trường,Phòng lớn dùng để làm nơi hội họp.,true
W01700,hôn,"Áp môi hoặc mũi vào để tỏ lòng yêu thương, quý mến.",true
W01702,hộp,"Đồ dùng có hình khối, kích thước nhỏ, làm bằng giấy, gỗ, nhựa hay kim loại, dùng để chứa đựng.",true
W01703,hộp bút,,true
W01704,hộp sữa,,true
W01706,hơi nước,"Nước ở trạng thái khí, sinh ra trong quá trình bay hơi.",true
W01707B,hợp đồng,"Sự thoả thuận, giao ước giữa hai hay nhiều bên quy định các quyền lợi, nghĩa vụ của các bên tham gia, thường được viết thành văn bản.",false
W01708,hợp lí,"Đúng lẽ phải, phù hợp với logic.",false
W01709,hợp tác,"Cùng chung sức giúp đỡ lẫn nhau trong một công việc, một lĩnh vực nào đó, nhằm một mục đích chung.",true
W01710,huân chương,"Vật làm bằng kim loại, có cuống để có thể đeo trước ngực, dùng làm dấu hiệu cho phần thưởng cao quý do nhà nước đặt ra để tặng thưởng những người có công lao, thành tích đặc biệt xuất sắc (trong một lĩnh vực hoạt động nào đó).",true
W01711,hung ác,Dữ tợn và tàn ác.,false
W01712,hung thủ,Kẻ phạm tội giết người hoặc đánh người trọng thương.,false
W01716,hút nước,,false
W01717,hút thuốc lá,,true
W01718,huy hiệu,"Vật làm bằng kim loại dùng làm dấu hiệu tượng trưng cho một tổ chức hoặc để kỉ niệm một phong trào, một sự kiện lịch sử hay một nhân vật nổi tiếng.",true
W01719,huỷ diệt,"Diệt hoàn toàn, làm cho không còn tồn tại trên một phạm vi rộng.",true
W01721B,huyện,"Đơn vị hành chính dưới tỉnh, gồm nhiều xã.",false
W01724,hướng dẫn,"Chỉ bảo, dẫn dắt cho biết phương hướng và cách thức tiến hành một hoạt động nào đó.",false
W01725,muối,,false
W01727,ích lợi,"Điều có ích, có lợi (nói khái quát).",false
W01728B,in,"Tạo ra nhiều bản bằng các phương pháp, công nghệ khác nhau.",false
W01730,ít,Có số lượng nhỏ hoặc ở mức thấp.,false
W01734,kẻ cắp,Kẻ chuyên đi ăn cắp.,true
W01735,kèn,Nhạc khí tạo tiếng nhạc bằng cách dùng hơi thổi làm rung các dăm hoặc làm rung cột không khí trong các ống.,true
W01737,kẻ thù,Kẻ có quan hệ thù địch.,false
W01738B,kém,Ở trình độ hoặc khả năng thấp hơn so với cái trung bình.,false
W01739,keo kiệt,"Hà tiện tới mức quá quắt, chỉ biết bo bo giữ của.",false
W01740,kéo,"Dụng cụ dùng để cắt gồm có hai lưỡi thép chéo nhau, gắn với nhau bằng một đinh chốt.",true
W01743B,kẹo,"Đồ ăn ở dạng viên hoặc thỏi, làm bằng đường, mật, thường có thêm các chất béo, chất thơm.",false
W01744,kẹp,Giữ chặt lấy ở giữa bằng cách ép mạnh lại từ hai phía.,true
W01746,kể chuyện,,true
W01750,kết bạn,Gắn bó với nhau thành bạn thân.,false
W01751,kết hợp,"Gắn với nhau để bổ sung, hỗ trợ cho nhau.",false
W01754B,kết quả,"Cái đạt được, thu được trong một công việc hoặc một quá trình tiến triển của sự vật.",false
W01755,kêu,"Phát ra âm thanh do có sự cọ xát, va chạm hoặc rung động.",false
W01756,kêu gọi,"Lên tiếng yêu cầu, động viên mọi người làm việc gì (thường là việc quan trọng).",false
W01757,khác,"Không có những nét chung, những nét tương tự nên có thể phân biệt được với nhau khi so sánh.",false
W01758,khách,"Người từ nơi khác đến, trong quan hệ với chủ nhà, với người đón tiếp.",false
W01759,khách mời,,false
W01760,khách sạn,"Nhà xây thành nhiều phòng với mục đích cho khách thuê, có đủ tiện nghi phục vụ việc ăn ở của khách trọ.",true
W01764,hoang mang,"Ở trạng thái luôn thấy bất ổn khiến cho lo lắng, dao động, không biết tin theo cái gì và nên xử trí ra sao.",true
W01766,khai mạc,"Mở đầu, bắt đầu (hội nghị, cuộc biểu diễn, cuộc triển lãm, v.v.).",true
W01767,khám bệnh,,true
W01768,khám phá,"Tìm ra, phát hiện ra cái còn ẩn giấu, cái bí mật.",false
W01770,kháng cự,Chống lại để tự vệ.,false
W01771,kháng sinh,"Chất lấy từ nấm mốc, vi khuẩn thực vật, có tác dụng kháng sinh.",true
W01774,khát nước,,false
W01775,khát vọng,"Mong muốn những điều lớn lao, tốt đẹp với một sức thôi thúc mạnh mẽ.",false
W01776,khắc phục,Vượt qua được những khó khăn trở ngại.,false
W01777,khăn mặt,,true
W01779,khăn quàng,"Khăn dệt hoặc đan bằng sợi to, mềm, dùng choàng vào đầu hay cổ để chống lạnh.",true
W01780,khăn quàng đỏ,"Khăn màu đỏ, có hình tam giác, dùng để đội viên Đội thiếu niên tiền phong Hồ Chí Minh quàng bên ngoài cổ áo.",true
W01783,khâm phục,"Đặc biệt kính trọng, do đánh giá rất cao về mặt nào đó.",false
W01784,khâu vá,Khâu và vá đồ bằng vải (nói khái quát).,true
W01785,khẩu hiệu,"Câu ngắn gọn mang nội dung tuyên truyền cổ động để tập hợp quần chúng, để tỏ quyết tâm hoặc để đấu tranh.",true
W01786,khẩu trang,"Đồ dùng làm bằng vải, có nhiều lớp hoặc có lót lớp ngăn cách để đeo che miệng và mũi nhằm ngăn giữ bụi bặm, chất độc hoặc chống rét.",true
W01787,khe cửa,,false
W01788,khe núi,,true
W01789,khen,Nói lên sự đánh giá tốt với ý vừa lòng.,false
W01791,khen tặng,Khen và tỏ ý khích lệ.,true
W01792,khéo,"Biết làm những động tác thích hợp trong lao động để tạo ra những sản phẩm đẹp, tinh tế.",false
W01793,khép cửa,,true
W01796,khiêm tốn,"Có ý thức và thái độ đúng mức trong việc đánh giá bản thân, không tự đề cao, không kiêu căng, tự phụ.",false
W01800,khiêng,Nâng và chuyển vật nặng hoặc cồng kềnh bằng sức của hai hay nhiều người hợp lại.,true
W01803B,khó khăn,"Khó, có nhiều trở ngại hoặc thiếu thốn (nói khái quát).",false
W01804,khoa học,"Hệ thống tri thức tích luỹ trong quá trình lịch sử và được thực tiễn chứng minh, phản ánh những quy luật khách quan của thế giới bên ngoài cũng như của hoạt động tinh thần của con người, giúp con người có khả năng cải tạo thế giới hiện thực.",false
W01806,khóa quần,,true
W01807,khoác vai,,true
W01808,khoan,Dụng cụ có mũi nhọn bằng kim loại để tạo lỗ bằng cách xoáy sâu dần.,true
W01809,khoảng cách,Khoảng chia cách giữa hai vật.,false
W01810,khoá,"Đồ dùng bằng kim loại để đóng chặt cửa, tủ, hòm, vv, không cho người khác mở.",true
W01811,khóa cửa,,true
W01813,khoác áo,Mang trang phục của một đơn vị hoặc tổ chức và trở thành người của đơn vị hoặc tổ chức đó.,false
W01814,khoác tay,,true
W01816,khoang tàu,"Khoảng không gian rộng trong lòng tàu thường dùng để chứa, chở.",true
W01820,khoanh tay,,true
W01821,khóc,"Chảy nước mắt do đau đớn, khó chịu hay xúc động mạnh.",true
W01822,khoe,"Cố ý làm cho người ta thấy, biết cái tốt đẹp, cái hay của mình, thường là bằng lời nói.",false
W01823,khoẻ mạnh,"Có sức khoẻ tốt, không ốm yếu, không bệnh tật.",true
W01824B,khỏi bệnh,,false
W01825,khói,Chất khí có màu trắng đục hoặc đen xám bốc lên từ vật đang cháy.,true
W01826,khóm dứa,,true
W01827,bụi tre,,true
W01828,khô héo,Khô cạn nhựa sống và héo đi.,true
W01829,khổ thơ,,true
W01832,khối lượng,Đại lượng đặc trưng cho quán tính và tính hấp dẫn của một vật.,false
W01833,không gian,Khoảng không bao trùm mọi vật xung quanh con người.,false
W01834,không thẳng hàng,,false
W01835,khổng lồ,"Có kích thước, quy mô, khối lượng lớn gấp nhiều lần so với bình thường.",false
W01840B,không hiểu,,false
W01841,không khí,"Hỗn hợp khí bao quanh Trái Đất, chủ yếu gồm nitrogen và oxygen, rất cần thiết cho sự sống của người và sinh vật.",false
W01842,khổ,"Quá khó khăn, thiếu thốn về vật chất hoặc vất vả về thể xác hay bị giày vò, đau đớn về tinh thần.",false
W01847,khớp xương,Bộ phận kết nối các xương trong cơ thể để tạo thành một hệ thống xương tổng thể.,false
W01849,khu rừng,,true
W01851,khu vườn,,true
W01852,vực sâu,,true
W01854,khúc khuỷu,Có nhiều đoạn gấp khúc ngắn nối nhau liên tiếp.,true
W01856,khung cửa số,,true
W01857,khung thành,"Khung hình chữ nhật đặt ở cuối sân bóng, làm mục tiêu để các cầu thủ đưa bóng lọt vào làm bàn.",true
W01858,khuôn hình,Chi tiết lắp trong máy quay phim để định kích thước khác nhau cho các loại phim.,false
W01859,khuy,"Vật nhỏ làm bằng nhựa, kim loại, thuỷ tinh, xương, vv, thường có hình tròn, dùng đính vào quần áo để cài.",true
W01860,khuyên tai,"Đồ trang sức đeo ở tai, thường làm bằng vàng hay bạc, có hình vòng tròn nhỏ.",true
W01861,kì diệu,"Có cái gì vừa rất lạ lùng như không cắt nghĩa nổi, vừa làm cho người ta phải ca ngợi, phải khâm phục.",false
W01862,kì lạ,"Rất lạ, tới mức không thể ngờ được.",false
W01866B,kỉ niệm,Cái hiện lại trong trí óc về những sự việc đáng ghi nhớ đã qua.,false
W01867,kí hiệu,"Dấu hiệu vật chất đơn giản, do quan hệ tự nhiên hoặc do quy ước, được coi như thay cho một thực tế phức tạp hơn.",false
W01869,ki-lô-mét,"Đơn vị đo độ dài, bằng một nghìn mét.",false
W01871,kỉ luật,Hình thức phạt đối với người vi phạm kỉ luật.,false
W01872B,kí tên,"Tự ghi tên mình bằng một kiểu riêng và không đổi, để xác nhận tính chính xác của một văn bản hoặc để nhận chịu trách nhiệm về một văn bản.",false
W01876,kịch bản,Vở kịch ở dạng văn bản (được viết ra).,false
W01878B,kiểm tra,"Xem xét tình hình thực tế để đánh giá, nhận xét.",false
W01879,kiếm,"Binh khí có lưỡi dài, đầu nhọn, dùng để đâm.",true
W01882,kiên quyết,"Tỏ ra hết sức cứng rắn, quyết làm bằng được điều đã định, dù khó khăn trở ngại đến mấy cũng không thay đổi.",false
W01883,kiên trì,"Không thay đổi ý định, ý chí để làm việc gì đó đến cùng, mặc dù gặp khó khăn, trở lực.",false
W01885,kiến thức,"Những điều hiểu biết có được do từng trải, hoặc do học tập (nói tổng quát).",false
W01886,kiến trúc,"Xây dựng các công trình, thường là nhà cửa, theo những kiểu mẫu mang tính chất nghệ thuật.",true
W01887,kiến trúc sư,Người tốt nghiệp đại học ngành kiến trúc.,true
W01888,"kiêu",Tự cho mình là hơn người.,false
W01890,kim,"Vật làm bằng một đoạn thép nhỏ, một đầu có mũi nhọn, một đầu có lỗ để xâu chỉ, dùng để khâu, may.",true
W01897,kinh ngạc,"Hết sức ngạc nhiên, sửng sốt trước điều hoàn toàn không ngờ.",false
W01898B,kinh nghiệm,"Điều hiểu biết có được do tiếp xúc với thực tế, do từng trải.",false
W01900,kính,"Đồ dùng để đeo bảo vệ mắt hoặc để nhìn được rõ hơn, gồm một khung gọng có lắp hai miếng kính nhỏ.",true
W01902,kính hiển vi,"Dụng cụ quang học gồm một hệ thống thấu kính hội tụ, dùng để tạo ảnh phóng đại của những vật rất nhỏ, không thể nhìn thấy bằng mắt thường.",true
W01903,kính lão,Kính viễn thị dùng cho người có tuổi.,true
W01904,kính lúp,"Dụng cụ quang học gồm có một thấu kính hội tụ, nhìn qua đó thấy được ảnh phóng to của vật nhỏ.",true
W01906,kính trọng,"Coi trọng, do thừa nhận có giá trị cao.",true
W01909,la bàn,Dụng cụ xác định phương hướng gồm có một kim nam châm luôn luôn chỉ phương bắc - nam (gọi là kim chỉ nam).,true
W01910,la hét,Hét rất to (nói khái quát).,true
W01911B,là gì?,,false
W01912B,lá cây,"Bộ phận của cây, mọc ra ở cành hoặc thân và thường có hình dẹt, màu lục, giữ vai trò chủ yếu trong việc tạo ra chất hữu cơ nuôi cây.",false
W01913,lá thư,,true
W01915,lạc quan,"Có cách nhìn, thái độ tin tưởng ở tương lai tốt đẹp.",false
W01920B,lái tàu hỏa,,false
W01924,làm bài tập,,true
W01925B,làm quen,Tìm cách để quen với người chưa quen biết.,false
W01926,làm ruộng,"Làm những việc như cày, cấy v.v.. để tạo ra sản phẩm nông nghiệp.",true
W01928,làm việc,Hoạt động liên tục nhằm đạt một kết quả có ích.,true
W01930,lang thang,"Đến chỗ này rồi lại bỏ đi chỗ khác, không dừng lại ở một chỗ nào nhất định.",false
W01932,làn sóng,Sóng xô nối tiếp nhau tạo thành từng lớp có bề mặt hình uốn lượn.,true
W01939,làng xóm,"Làng và xóm, về mặt là khối dân cư ở nông thôn với đời sống riêng của nó (nói khái quát).",true
W01942,lãnh đạo,"Đề ra chủ trương, đường lối và tổ chức thực hiện.",false
W01943,thổ dân,"Cư dân sinh sống đã lâu đời ở một vùng hay một địa phương nào đó, thường ở tình trạng lạc hậu, trong quan hệ với người dân văn minh hơn từ nơi khác đến.",false
W01944,lao phổi,"Bệnh lao gây hư phổi, ho nhiều và dễ lây.",false
W01947,lão già,,true
W01948,lau chùi,Lau và chùi (nói khái quát).,true
W01949,lau khô,,false
W01950,lau nhà,,true
W01951,lắc đầu,"Đưa đầu qua lại vài cái tỏ ý không bằng lòng, không đồng ý.",false
W01953,lăng Bác Hồ,,true
W01955,lắng nghe,Tập trung sức nghe để thu nhận cho rõ âm thanh.,true
W01956,lặn,Tự làm cho mình chìm hẳn xuống dưới mặt nước.,true
W01957,lặng lẽ,"Im lặng, không lên tiếng, không có tiếng động, tiếng ồn.",false
W01960,lắp ráp,Lắp các bộ phận rời của máy với nhau hoặc đặt các bộ phận máy vào đúng chỗ để có thể hoạt động được.,true
W01962,lẫn lộn,"Lẫn vào với nhau, không còn phân biệt được nữa.",false
W01964,lầu,Tầng trên của nhà.,true
W01966,lây bệnh,,false
W01967,lây nhiễm,Nhiễm bệnh do bị lây từ người khác.,false
W01970,lấy,Đưa cái của mình hoặc cái đã sẵn có ở đâu đó để làm việc gì.,false
W01973,leo trèo,Leo và trèo (nói khái quát).,true
W01977,lễ bế giảng,,true
W01978B,lễ hội,"Cuộc vui chung có tổ chức, có các hoạt động lễ nghi mang tính văn hoá truyền thống.",false
W01982B,lễ hội hóa trang,,false
W01983,lễ phép,"Thái độ được coi là đúng mực đối với người trên, tỏ ra có lòng kính trọng.",false
W01984,lễ vật,Vật dùng để biếu tặng hay cúng tế.,false
W01986,lên đường,Bắt đầu rời nơi đang ở để đi xa.,false
W01987,lên ngôi,Lên làm vua.,false
W01989,lên xe,,false
W01991,lều trại,,true
W01992,lí do,Điều làm căn cứ được dùng để giải thích một việc nào đó.,false
W01998B,liên hoan,Cuộc vui chung nhân dịp gì có đông người cùng tham gia.,false
W01999,liên kết,Kết lại với nhau từ nhiều thành phần hoặc tổ chức riêng rẽ.,false
W02000B,liên lạc,Truyền tin cho nhau để giữ mối liên hệ.,false
W02001B,liên quan,Có mối quan hệ nào đó với nhau.,false
W02002,liên tục,Tiếp nối nhau thành một quá trình không bị gián đoạn.,false
W02003,liền sau,,false
W02004,liền trước,,false
W02005,liệt (liệt tay chân),Ở trạng thái bị mất hẳn hoặc giảm khả năng hoạt động của một bộ phận nào đó của cơ thể.,true
W02006,liều lĩnh,(Làm việc gì) bất chấp nguy hiểm hoặc hậu quả tai hại có thể xảy ra.,false
W02008,liều mình,"Liều, không sợ thiệt đến thân mình, không sợ phải hi sinh tính mạng.",false
W02010,linh hồn,Hồn người chết.,false
W02011,lĩnh hội,Tiếp thu và hiểu được một cách thấu đáo.,false
W02012B,lĩnh vực,"Phạm vi hoạt động, nghiên cứu phân biệt với các phạm vi hoạt động, nghiên cứu khác.",false
W02016,lo sợ,Lo lắng và có phần sợ hãi.,true
W02018,lò xo,"Vật thường bằng thép, được uốn thành nhiều vòng xoắn, có sức đàn hồi, dùng để giữ những vật khác (thường là những chi tiết máy) nào đó ở vị trí cần có.",true
W02019,lọ hoa,,true
W02020,lọ mực,,true
W02021,loa,"Dụng cụ hình phễu, có tác dụng định hướng làm âm đi xa hơn và nghe rõ hơn.",true
W02024B,loài vật,,false
W02025,loạn thị,"(Mắt) không nhìn rõ được như nhau ở các hướng, do bị tật.",false
W02026,lon bia,,false
W02035,lỗi chính tả,,true
W02036,lỗi lầm,"Lỗi, khuyết điểm tương đối lớn (nói khái quát).",false
W02037,lối đi,,true
W02039,lông,"Bộ phận thường có hình sợi, mọc ở ngoài da cầm thú hay da người, có tác dụng bảo vệ cơ thể.",false
W02040,lông gà,,true
W02041,lồng bàn,"Vật có hình thúng, thường đan bằng tre hay làm bằng nhựa, dùng để đậy thức ăn trên mâm, bàn.",true
W02042,lồng chim,,true
W02043,lồng tiếng,"Tạo tiếng nói cho nhân vật trong phim, sau khi phim đã quay xong phần cơ bản.",false
W02046,lơ lửng,"Ở trạng thái di động nhẹ ở khoảng giữa lưng chừng, không dính bám vào đâu.",false
W02047,lời giải,Cách tìm ra đáp số hoặc chứng minh phần kết luận của một bài toán.,false
W02052,lớp,Lớp học (nói tắt).,true
W02055,lớp phó,,false
W02057,lớp trưởng,,false
W02059,lũ quét,"Lũ rất mạnh, thường xuất hiện đột ngột ở những vùng rừng núi có sườn dốc đứng, có sức tàn phá trên một phạm vi rộng.",false
W02060,lúa,"Cây lương thực, thân cỏ rỗng, hoa lưỡng tính, không có bao hoa, quả có vỏ trấu bao ngoài (gọi là hạt thóc).",true
W02064B,luật chơi,Luật được quy định cụ thể hoặc được hiểu ngầm giữa đôi bên hoặc giữa những người trong cuộc.,false
W02065,luật lệ,Pháp luật và những điều đã thành lệ mà mọi người trong xã hội phải tuân theo (nói khái quát).,false
W02066B,lúc nào,"Thời điểm nào đó không muốn nói rõ ra, hoặc là bất kì thời điểm nào.",false
W02067,lục địa,"Phần đất liền rộng lớn xung quanh có biển bao bọc, phân biệt với biển.",false
W02068,lục giác,Đa giác có sáu cạnh.,false
W02070,lùi bước,"Không tiếp tục tiến lên mà lùi lại, chịu thua, chịu khuất phục.",false
W02071,lúng túng,"Không làm chủ được tình hình nên không biết hành động, xử trí như thế nào.",false
W02073,lũy tre,Hàng cây tre rất dày để làm hàng rào bao quanh làng.,true
W02074,luyện tập,Làm đi làm lại nhiều lần theo một nội dung để cho thành thạo (nói khái quát).,false
W02076,lửa,Nhiệt và ánh sáng phát sinh đồng thời từ vật đang cháy.,true
W02077,lược,"Đồ dùng để chải tóc, có nhiều răng đều nhau.",true
W02078B,lười,"Ở trạng thái không thích, ngại làm việc, ít chịu cố gắng.",false
W02079B,lười học,,false
W02080,lưỡi,"Bộ phận mềm trong miệng, dùng để đón và nếm thức ăn, và ở người còn dùng để phát âm.",true
W02081,lưỡi câu,"Móc nhỏ, đầu sắc nhọn, thường có ngạnh, dùng để móc mồi câu cá.",false
W02083,lưới,"Đồ đan bằng các loại sợi, có nhiều hình dáng và công dụng khác nhau, thường dùng để ngăn chắn, để đánh bắt cá, chim, v.v.",true
W02084,lượm,Cầm lên cái đã rơi xuống.,true
W02090,lương thực,"Thức ăn có chất bột như gạo, ngô, khoai, sắn, v.v. (nói khái quát).",true
W02091,lướt ván,Môn thể thao lướt trên mặt nước bằng tấm ván nhờ lực kéo của ca nô.,true
W02096,cây thông,,true
W02097,dự trữ,Trữ sẵn để dùng khi cần đến.,false
W02098,lưu ý,"Để ý đến để xem xét, theo dõi hoặc giải quyết.",false
W02099,lựu,"Cây nhỏ, lá mọc đối, hoa màu đỏ, quả chứa nhiều hạt mọng nước, ăn được, vỏ rễ dùng làm thuốc.",true
W02100,lựu đạn,"Vũ khí có vỏ cứng trong chứa chất nổ hoặc chất hoá học và bộ phận gây nổ, thường ném bằng tay.",true
W02104,ma,"Sự hiện hình của người chết, theo mê tín.",true
W02106,ma quỷ,"Ma và quỷ, nói khái quát.",false
W02107,ma sát,Tính cản trở sự chuyển động của các vật dọc theo bề mặt tiếp xúc của các vật đó.,false
W02108,ma túy,Tên gọi chung chỉ những chất kích thích thần kinh có hiệu ứng gây ngủ.,false
W02109,mã vạch,"Dãy các vạch và khoảng trống song song, xen kẽ, được sắp xếp theo một quy tắc mã hoá nhất định để hiện mã số (hoặc các dữ liệu gồm cả chữ và số) dưới dạng máy quét có thể đọc được (thường dùng dán trên hàng hoá, giúp có được những thông tin về một sản phẩm, như nguồn gốc, xuất xứ, giá tiền, v.v.).",true
W02110,má (giống: mẹ),Mẹ (thường chỉ dùng để xưng gọi).,true
W02112,mạch lạc,"Trật tự hợp lí giữa các ý, các phần trong nội dung diễn đạt.",false
W02113,mạch máu,Ống dẫn máu trong cơ thể động vật.,true
W02116,mái chèo,"Chèo dài, lắp vào cọc; phân biệt với mái dầm.",true
W02117,mái hiên,Phần mái phía trên thềm hoặc hiên nhà.,true
W02118,mái nhà,,true
W02119,mái tóc,"Toàn bộ tóc trên đầu, nói chung.",true
W02120B,màn,"Đồ dùng làm bằng vải dệt thưa đều, mắc trùm quanh giường để ngăn ruồi muỗi.",false
W02125,mạng lưới,Hệ thống những đường đan nối vào nhau có một chức năng chung.,false
W02129,mạnh bạo,"Không sợ, dám nghĩ dám làm những việc thấy là đáng làm, tuy biết đó là việc người ta thường e ngại.",false
W02131,mạnh mẽ,"Có nhiều sức lực, tiềm lực (nói khái quát).",false
W02132,màu cam,,true
W02133B,màu đen,,false
W02134,màu đỏ,,true
W02137B,màu nâu,,false
W02138,màu nhiệm,,false
W02140B,màu trắng,,false
W02142B,màu xanh da trời,,false
W02143B,màu xanh lá cây,,false
W02144,má,"Phần hai bên mặt, từ mũi và miệng đến tai và ở phía dưới mắt.",true
